"EventType","InsertText","DeleteText","SourceLocation","ClientTimestamp","CodeStateSection","ToolInstances","EditType","X-Metadata","CodeStateID","X-Compilable","EventID","SubjectID","AssignmentID"
"X-Keystroke","e",,"127","1693072238260","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1",,"e",,,,,
"File.Edit","t","","127","1693072238362","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","t",,"128","1693072238367","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1",,"t",,,,,
"File.Edit","N","","128","1693072238713","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","N",,"129","1693072238714","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1",,"N",,,,,
"File.Edit","a","","129","1693072238823","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","a",,"130","1693072238824","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1",,"a",,,,,
"File.Edit","m","","130","1693072238920","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","m",,"131","1693072238920","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1",,"m",,,,,
"File.Edit","e","","131","1693072239012","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","e",,"132","1693072239013","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1",,"e",,,,,
"File.Edit"," ","","132","1693072239191","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke"," ",,"133","1693072239191","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1",," ",,,,,
"File.Edit"," ","","133","1693072239553","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke"," ",,"134","1693072239553","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1",," ",,,,,
"File.Edit","-","","134","1693072239743","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","-",,"135","1693072239744","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1",,"-",,,,,
"X-Action","Backspace",,,"1693072240317","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1",,"Backspace",,,,,
"File.Edit","","-","134","1693072240318","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1","Delete",,,,,,
"X-Action","Backspace",,,"1693072240522","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1",,"Backspace",,,,,
"File.Edit",""," ","133","1693072240523","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1","Delete",,,,,,
"File.Edit"," ","","133","1693072240996","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke"," ",,"134","1693072240997","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1",," ",,,,,
"X-Action","Backspace",,,"1693072241339","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1",,"Backspace",,,,,
"File.Edit",""," ","133","1693072241340","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1","Delete",,,,,,
"X-Action","Backspace",,,"1693072241475","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1",,"Backspace",,,,,
"File.Edit",""," ","132","1693072241477","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1","Delete",,,,,,
"File.Edit"," ","","132","1693072241976","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke"," ",,"133","1693072241978","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1",," ",,,,,
"File.Edit","=","","133","1693072242157","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","=",,"134","1693072242158","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1",,"=",,,,,
"File.Edit"," ","","134","1693072242233","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke"," ",,"135","1693072242233","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1",," ",,,,,
"X-Action","Backspace",,,"1693072242873","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1",,"Backspace",,,,,
"File.Edit",""," ","134","1693072242874","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1","Delete",,,,,,
"X-Action","Backspace",,,"1693072242996","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1",,"Backspace",,,,,
"File.Edit","","=","133","1693072242997","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1","Delete",,,,,,
"File.Edit"," ","","133","1693072243114","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke"," ",,"134","1693072243114","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1",," ",,,,,
"File.Edit","=","","134","1693072243523","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","=",,"135","1693072243523","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1",,"=",,,,,
"File.Edit"," ","","135","1693072243674","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke"," ",,"136","1693072243674","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1",," ",,,,,
"File.Edit","i","","136","1693072244091","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","i",,"137","1693072244091","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1",,"i",,,,,
"File.Edit"," ","","137","1693072244096","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1","Insert",,,,,,
"File.Edit",""," ","137","1693072244194","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1","Delete",,,,,,
"File.Edit","n","","137","1693072244195","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","n",,"138","1693072244201","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1",,"n",,,,,
"File.Edit","p","","138","1693072244249","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","p",,"139","1693072244253","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1",,"p",,,,,
"File.Edit","u","","139","1693072244404","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","u",,"140","1693072244406","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1",,"u",,,,,
"File.Edit","t","","140","1693072244515","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","t",,"141","1693072244522","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1",,"t",,,,,
"File.Edit","e","","141","1693072244636","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","e",,"142","1693072244643","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1",,"e",,,,,
"File.Edit","r","","142","1693072244720","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","r",,"143","1693072244721","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1",,"r",,,,,
"X-Action","Backspace",,,"1693072245228","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1",,"Backspace",,,,,
"File.Edit","","r","142","1693072245229","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1","Delete",,,,,,
"X-Action","Backspace",,,"1693072245546","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1",,"Backspace",,,,,
"File.Edit","","e","141","1693072245547","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1","Delete",,,,,,
"File.Edit","(","","141","1693072246804","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1","Insert",,,,,,
"File.Edit",")","","142","1693072246805","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","(",,"142","1693072246805","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1",,"(",,,,,
"File.Edit","""","","142","1693072247062","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1","Insert",,,,,,
"File.Edit","""","","143","1693072247063","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","""",,"143","1693072247063","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1",,"""",,,,,
"X-Action","Backspace",,,"1693072247720","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1",,"Backspace",,,,,
"File.Edit","","""","143","1693072247722","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1","Delete",,,,,,
"File.Edit","","""","142","1693072247722","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1","Delete",,,,,,
"File.Edit","'","","142","1693072248634","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1","Insert",,,,,,
"File.Edit","'","","143","1693072248635","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","'",,"143","1693072248636","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1",,"'",,,,,
"File.Edit","E","","143","1693072249063","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","E",,"144","1693072249064","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1",,"E",,,,,
"File.Edit"," ","","144","1693072249072","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1","Insert",,,,,,
"File.Edit",""," ","144","1693072249180","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1","Delete",,,,,,
"File.Edit","n","","144","1693072249181","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","n",,"145","1693072249180","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1",,"n",,,,,
"File.Edit","t","","145","1693072249246","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","t",,"146","1693072249247","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1",,"t",,,,,
"File.Edit","e","","146","1693072249359","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","e",,"147","1693072249360","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1",,"e",,,,,
"File.Edit","r","","147","1693072249436","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","r",,"148","1693072249436","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1",,"r",,,,,
"File.Edit"," ","","148","1693072249550","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke"," ",,"149","1693072249550","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1",," ",,,,,
"File.Edit","y","","149","1693072249791","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","y",,"150","1693072249792","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1",,"y",,,,,
"File.Edit"," ","","150","1693072249799","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1","Insert",,,,,,
"File.Edit",""," ","150","1693072249906","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1","Delete",,,,,,
"File.Edit","o","","150","1693072249907","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","o",,"151","1693072249906","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1",,"o",,,,,
"File.Edit","u","","151","1693072249957","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","u",,"152","1693072249957","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1",,"u",,,,,
"File.Edit","r","","152","1693072250056","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","r",,"153","1693072250057","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1",,"r",,,,,
"File.Edit"," ","","153","1693072250159","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke"," ",,"154","1693072250160","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1",," ",,,,,
"File.Edit","f","","154","1693072250252","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","f",,"155","1693072250252","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1",,"f",,,,,
"File.Edit"," ","","155","1693072250259","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1","Insert",,,,,,
"File.Edit",""," ","155","1693072250350","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1","Delete",,,,,,
"File.Edit","i","","155","1693072250351","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","i",,"156","1693072250350","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1",,"i",,,,,
"File.Edit","r","","156","1693072250423","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","r",,"157","1693072250424","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1",,"r",,,,,
"File.Edit","s","","157","1693072250560","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","s",,"158","1693072250560","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1",,"s",,,,,
"File.Edit","t","","158","1693072250684","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","t",,"159","1693072250685","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1",,"t",,,,,
"File.Edit"," ","","159","1693072250837","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke"," ",,"160","1693072250837","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1",," ",,,,,
"File.Edit","p","","160","1693072251154","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","p",,"161","1693072251154","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1",,"p",,,,,
"File.Edit"," ","","161","1693072251162","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1","Insert",,,,,,
"File.Edit",""," ","161","1693072251286","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1","Delete",,,,,,
"File.Edit","e","","161","1693072251287","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","e",,"162","1693072251287","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1",,"e",,,,,
"File.Edit","t","","162","1693072251411","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","t",,"163","1693072251411","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1",,"t",,,,,
"X-Keystroke","'",,"164","1693072251889","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1",,"'",,,,,
"File.Edit","s","","164","1693072251989","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","s",,"165","1693072251990","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1",,"s",,,,,
"File.Edit"," ","","165","1693072251995","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1","Insert",,,,,,
"File.Edit",""," ","165","1693072252097","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1","Delete",,,,,,
"File.Edit"," ","","165","1693072252102","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke"," ",,"166","1693072252102","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1",," ",,,,,
"File.Edit","n","","166","1693072252292","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","n",,"167","1693072252292","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1",,"n",,,,,
"File.Edit"," ","","167","1693072252297","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1","Insert",,,,,,
"File.Edit",""," ","167","1693072252358","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1","Delete",,,,,,
"File.Edit","a","","167","1693072252359","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","a",,"168","1693072252363","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1",,"a",,,,,
"File.Edit","m","","168","1693072252470","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","m",,"169","1693072252473","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1",,"m",,,,,
"File.Edit","e","","169","1693072252584","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","e",,"170","1693072252587","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1",,"e",,,,,
"X-Action","Backspace",,,"1693072252986","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1",,"Backspace",,,,,
"File.Edit","","e","169","1693072252989","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1","Delete",,,,,,
"X-Action","Backspace",,,"1693072253323","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1",,"Backspace",,,,,
"File.Edit","","m","168","1693072253324","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1","Delete",,,,,,
"X-Action","Backspace",,,"1693072253461","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1",,"Backspace",,,,,
"File.Edit","","a","167","1693072253462","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1","Delete",,,,,,
"X-Action","Backspace",,,"1693072253638","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1",,"Backspace",,,,,
"File.Edit","","n","166","1693072253639","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1","Delete",,,,,,
"X-Action","Backspace",,,"1693072253785","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1",,"Backspace",,,,,
"File.Edit",""," ","165","1693072253787","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1","Delete",,,,,,
"X-Action","Backspace",,,"1693072254307","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1",,"Backspace",,,,,
"File.Edit","","s","164","1693072254309","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1","Delete",,,,,,
"File.Edit","\","","164","1693072255499","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","\",,"165","1693072255500","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1",,"\",,,,,
"File.Edit","'","","165","1693072256000","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","'",,"166","1693072256001","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1",,"'",,,,,
"File.Edit","'","","166","1693072256001","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1","Insert",,,,,,
"X-Action","Backspace",,,"1693072258160","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1",,"Backspace",,,,,
"File.Edit","","'","166","1693072258162","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1","Delete",,,,,,
"File.Edit","","'","165","1693072258162","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1","Delete",,,,,,
"X-Action","Backspace",,,"1693072259150","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1",,"Backspace",,,,,
"File.Edit","","\","164","1693072259151","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1","Delete",,,,,,
"X-Action","Backspace",,,"1693072259503","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1",,"Backspace",,,,,
"File.Edit","","'","163","1693072259505","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1","Delete",,,,,,
"File.Edit","\","","163","1693072260855","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","\",,"164","1693072260856","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1",,"\",,,,,
"File.Edit",";","","164","1693072261862","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke",";",,"165","1693072261862","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1",,";",,,,,
"File.Edit"," ","","165","1693072262491","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke"," ",,"166","1693072262491","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1",," ",,,,,
"X-Action","Backspace",,,"1693072263029","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1",,"Backspace",,,,,
"File.Edit",""," ","165","1693072263030","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1","Delete",,,,,,
"X-Action","Backspace",,,"1693072263172","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1",,"Backspace",,,,,
"File.Edit","",";","164","1693072263173","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1","Delete",,,,,,
"File.Edit","'","","164","1693072263526","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","'",,"165","1693072263527","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1",,"'",,,,,
"File.Edit"," ","","165","1693072264149","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke"," ",,"166","1693072264149","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1",," ",,,,,
"File.Edit","s","","166","1693072264660","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","s",,"167","1693072264661","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1",,"s",,,,,
"File.Edit"," ","","167","1693072264669","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1","Insert",,,,,,
"X-Action","Backspace",,,"1693072265274","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1",,"Backspace",,,,,
"File.Edit",""," s","165","1693072265275","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1","Delete",,,,,,
"X-Action","Backspace",,,"1693072265842","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1",,"Backspace",,,,,
"File.Edit",""," ","165","1693072265845","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1","Delete",,,,,,
"File.Edit","s","","165","1693072266070","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","s",,"166","1693072266071","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1",,"s",,,,,
"File.Edit"," ","","166","1693072266077","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke"," ",,"167","1693072266418","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1",," ",,,,,
"File.Edit","n","","167","1693072266618","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","n",,"168","1693072266618","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1",,"n",,,,,
"File.Edit"," ","","168","1693072266624","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1","Insert",,,,,,
"File.Edit",""," ","168","1693072266685","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1","Delete",,,,,,
"File.Edit","a","","168","1693072266686","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","a",,"169","1693072266685","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1",,"a",,,,,
"File.Edit","m","","169","1693072266779","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","m",,"170","1693072266779","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1",,"m",,,,,
"File.Edit","e","","170","1693072266889","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","e",,"171","1693072266890","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1",,"e",,,,,
"File.Edit",":","","171","1693072267757","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke",":",,"172","1693072267757","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1",,":",,,,,
"File.Edit"," ","","172","1693072267985","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke"," ",,"173","1693072267986","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1",," ",,,,,
"File.Edit","'","","173","1693072269863","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","'",,"174","1693072269864","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1",,"'",,,,,
"X-Action","Right",,,"1693072270222","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1",,"Right",,,,,
"X-Action","Enter",,,"1693072271682","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1",,"Enter",,,,,
"File.Edit","
    ","","175","1693072271683","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1","Insert",,,,,,
"X-Action","Enter",,,"1693072271840","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1",,"Enter",,,,,
"File.Edit","
    ","","180","1693072271842","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1","Insert",,,,,,
"X-Action","Backspace",,,"1693072273931","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1",,"Backspace",,,,,
"File.Edit",""," ","184","1693072273931","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1","Delete",,,,,,
"File.Edit","","   ","181","1693072273932","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1","Delete",,,,,,
"X-Action","Backspace",,,"1693072274341","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1",,"Backspace",,,,,
"File.Edit","","
","180","1693072274342","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1","Delete",,,,,,
"X-Action","Enter",,,"1693072276550","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1",,"Enter",,,,,
"File.Edit","
    ","","180","1693072276552","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1","Insert",,,,,,
"File.Edit","p","","185","1693072276882","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","p",,"186","1693072276882","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1",,"p",,,,,
